;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;subordinada;;AVALIADOR.3;AVALIADOR.2;AVALIADOR.1;VOTO.COERENTE;VOTO.INCOERENTE;COERENCIA.FINAL;dptOIE;stanford;orange;mquni;lys;sistemas
1;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;os visitantes de os mais diversos estados brasileiros ; têm;;a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ;;0;0;0;0;3;0;0;0;0;1;0;mquni
2;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;os visitantes de os mais diversos estados brasileiros ; têm;a o visitar os cânions de o Rio São Francisco ;a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ;;0;0;0;0;3;0;0;0;0;1;0;mquni
3;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;quem ; condiz;;a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ;;0;0;0;0;3;0;0;0;0;1;0;mquni
4;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;quem ; condiz;com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ;a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ;;0;0;0;0;3;0;0;0;0;1;0;mquni
5;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;Tal percepção ; é;visível ;quem  /   transita /  por a principal via de a cidade de Canindé de São Francisco ;;0;0;0;0;3;0;0;1;0;0;0;stanford
6;15;Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ;Tal percepção ; é;visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ;a limpeza e organização  /   quando , notam /  presente en a cultura de o povo local ;;0;0;0;0;3;0;0;0;0;1;0;mquni
7;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que ;o ar  /   se esgote /  ou que o próprio túnel desabe ;;1;0;0;1;2;0;0;1;1;1;0;stanford, orange, mquni
8;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;antes que ;o ar  /   se esgote /  ou que o próprio túnel desabe ;;0;0;0;0;3;0;0;1;1;0;0;stanford, orange
9;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;A única esperança para os sobreviventes ; é Kit Latura;um ex - bombeiro que precisará entrar e resgatar as vítimas antes que ;o ar  /   se esgote /  ou que o próprio túnel desabe ;;1;0;0;1;2;0;0;0;0;1;0;mquni
10;20;A única esperança para os sobreviventes é Kit Latura ( Sylvester Stallone ) , um ex - bombeiro que precisará entrar en o túnel e resgatar as vítimas antes que o ar se esgote , ou que o próprio túnel desabe . ;um ex - bombeiro ; precisará;entrar en o túnel e resgatar as vítimas antes que ;o ar  /   se esgote /  ou que o próprio túnel desabe ;;1;0;1;2;1;1;0;1;1;1;0;stanford, orange, mquni
11;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  en as torcidas ;;1;1;1;3;0;1;0;0;0;0;1;lys
12;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios ;;1;1;1;3;0;1;1;0;1;0;1;orange, lys, dptoie
13;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas ;;1;1;1;3;0;1;0;0;0;0;1;lys
14;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos ;;1;1;1;3;0;1;0;0;1;0;0;orange
15;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc ;;1;1;1;3;0;1;0;0;1;0;0;orange
16;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , juízes etc ;;0;0;0;0;3;0;0;0;1;0;0;orange
17;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas também , dentro de as quatro linhas ;;0;0;1;1;2;0;0;0;0;0;1;lys
18;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas também , dentro de as quatro linhas , juízes etc ;;0;0;0;0;3;0;0;0;0;0;1;lys
19;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de os estádios , en as torcidas também , dentro de juízes etc ;;0;0;0;0;3;0;0;0;0;0;1;lys
20;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de também dentro de as quatro linhas etc ;;0;0;0;0;3;0;0;0;1;0;0;orange
21;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de também dentro de as quatro linhas juízes ;;0;0;0;0;3;0;0;0;1;0;0;orange
22;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora de também dentro de as quatro linhas técnicos ;;0;0;0;0;3;0;0;0;1;0;0;orange
23;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  fora en as torcidas ;;0;0;0;0;3;0;0;0;1;0;0;orange
24;61;Importante lembrar que a violência , hoje , acontece fora de os estádios , en as torcidas e , também , dentro de as quatro linhas , entre jogadores , técnicos , juízes etc . ;Importante ; lembrar;que ;a violência  /   hoje , acontece /  também , dentro de as quatro linhas , juízes etc ;;0;0;0;0;3;0;0;0;0;0;1;lys
25;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil ;;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie
26;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ;;0;0;0;0;3;0;0;0;0;1;0;mquni
27;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ;;0;1;1;2;1;1;0;0;1;0;0;orange
28;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ;;1;1;1;3;0;1;1;1;0;1;0;stanford, mquni, mquni, dptoie
29;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ;;1;1;1;3;0;1;1;0;1;0;0;orange, orange, dptoie
30;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
31;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
32;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
33;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de janeiro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
34;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro de a Penha ( zona leste ) ;;0;0;0;0;3;0;0;0;0;1;0;mquni
35;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en o bairro en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;0;1;0;mquni
36;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;ontem que ;a prefeitura  /   ainda não pagou /  os US $ en os meses de dezembro e janeiro ;;0;0;0;0;3;0;0;0;1;0;0;orange
37;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil ;;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie
38;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes ;;0;0;0;0;3;0;0;0;0;1;0;mquni
39;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta ( zona leste ) ;;0;1;1;2;1;1;0;0;1;0;0;orange
40;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo ;;1;1;1;3;0;1;1;1;0;1;0;stanford, mquni, mquni, dptoie
41;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ;;1;1;1;3;0;1;1;0;1;0;0;orange, orange, dptoie
42;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) ;;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie
43;65;O diretor - presidente de a Splice , Antonio Beldi , afirmou ontem que a prefeitura ainda não pagou os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro e janeiro . ;Antonio Beldi ; afirmou;que ;a prefeitura  /   ainda não pagou /  os US $ 600 mil referentes a a coleta de lixo en o bairro de a Penha ( zona leste ) en os meses de dezembro ;;0;1;0;1;2;0;1;1;1;1;0;stanford, orange, mquni, dptoie
