linha;stanford;COERENCIA.FINAL;yield;precisao
1;1;1;1;1
2;1;1;2;1
4;1;0;2;0.666666667
7;1;1;3;0.75
9;1;1;4;0.8
10;1;1;5;0.833333333
12;1;1;6;0.857142857
13;1;1;7;0.875
19;1;1;8;0.888888889
21;1;1;9;0.9
23;1;0;9;0.818181818
24;1;0;9;0.75
63;1;1;10;0.769230769
64;1;0;10;0.714285714
69;1;1;11;0.733333333
71;1;0;11;0.6875
72;1;0;11;0.647058824
73;1;0;11;0.611111111
74;1;0;11;0.578947368
75;1;0;11;0.55
77;1;1;12;0.571428571
82;1;0;12;0.545454545
83;1;0;12;0.52173913
84;1;0;12;0.5
85;1;0;12;0.48
86;1;1;13;0.5
87;1;1;14;0.518518519
88;1;1;15;0.535714286
89;1;1;16;0.551724138
90;1;1;17;0.566666667
98;1;1;18;0.580645161
99;1;1;19;0.59375
100;1;1;20;0.606060606
101;1;1;21;0.617647059
103;1;1;22;0.628571429
105;1;1;23;0.638888889
107;1;0;23;0.621621622
108;1;1;24;0.631578947
110;1;1;25;0.641025641
118;1;1;26;0.65
121;1;1;27;0.658536585
122;1;1;28;0.666666667
123;1;1;29;0.674418605
127;1;0;29;0.659090909
130;1;0;29;0.644444444
132;1;1;30;0.652173913
133;1;1;31;0.659574468
136;1;1;32;0.666666667
137;1;1;33;0.673469388
138;1;1;34;0.68
142;1;0;34;0.666666667
144;1;1;35;0.673076923
146;1;0;35;0.660377358
149;1;1;36;0.666666667
150;1;0;36;0.654545455
190;1;0;36;0.642857143
193;1;0;36;0.631578947
195;1;0;36;0.620689655
196;1;0;36;0.610169492
197;1;1;37;0.616666667
201;1;1;38;0.62295082
202;1;0;38;0.612903226
206;1;1;39;0.619047619
213;1;1;40;0.625
214;1;1;41;0.630769231
217;1;1;42;0.636363636
222;1;0;42;0.626865672
223;1;0;42;0.617647059
224;1;0;42;0.608695652
225;1;1;43;0.614285714
226;1;1;44;0.61971831
228;1;1;45;0.625
229;1;1;46;0.630136986
231;1;0;46;0.621621622
232;1;1;47;0.626666667
234;1;0;47;0.618421053
235;1;0;47;0.61038961
236;1;0;47;0.602564103
237;1;1;48;0.607594937
240;1;0;48;0.6
241;1;0;48;0.592592593
242;1;0;48;0.585365854
245;1;0;48;0.578313253
247;1;0;48;0.571428571
248;1;1;49;0.576470588
250;1;0;49;0.569767442
252;1;1;50;0.574712644
253;1;1;51;0.579545455
260;1;1;52;0.584269663
262;1;0;52;0.577777778
263;1;0;52;0.571428571
264;1;0;52;0.565217391
266;1;0;52;0.559139785
267;1;0;52;0.553191489
268;1;0;52;0.547368421
269;1;1;53;0.552083333
270;1;1;54;0.556701031
278;1;0;54;0.551020408
279;1;0;54;0.545454545
280;1;0;54;0.54
284;1;0;54;0.534653465
285;1;1;55;0.539215686
286;1;0;55;0.533980583
313;1;1;56;0.538461538
314;1;1;57;0.542857143
315;1;1;58;0.547169811
317;1;1;59;0.551401869
318;1;1;60;0.555555556
319;1;1;61;0.559633028
320;1;1;62;0.563636364
321;1;1;63;0.567567568
322;1;1;64;0.571428571
323;1;1;65;0.575221239
324;1;1;66;0.578947368
325;1;1;67;0.582608696
326;1;1;68;0.586206897
327;1;1;69;0.58974359
328;1;0;69;0.584745763
329;1;1;70;0.588235294
331;1;0;70;0.583333333
339;1;0;70;0.578512397
340;1;0;70;0.573770492
341;1;0;70;0.569105691
342;1;0;70;0.564516129
343;1;1;71;0.568
344;1;1;72;0.571428571
345;1;1;73;0.57480315
346;1;1;74;0.578125
347;1;1;75;0.581395349
348;1;1;76;0.584615385
349;1;1;77;0.58778626
350;1;1;78;0.590909091
351;1;1;79;0.593984962
353;1;1;80;0.597014925
355;1;1;81;0.6
356;1;0;81;0.595588235
359;1;0;81;0.591240876
360;1;0;81;0.586956522
362;1;0;81;0.582733813
363;1;1;82;0.585714286
364;1;0;82;0.581560284
365;1;1;83;0.584507042
368;1;0;83;0.58041958
373;1;0;83;0.576388889
375;1;1;84;0.579310345
382;1;1;85;0.582191781
391;1;1;86;0.585034014
392;1;0;86;0.581081081
393;1;0;86;0.577181208
409;1;0;86;0.573333333
415;1;0;86;0.569536424
426;1;0;86;0.565789474
427;1;1;87;0.568627451
428;1;1;88;0.571428571
449;1;1;89;0.574193548
450;1;1;90;0.576923077
451;1;0;90;0.573248408
452;1;1;91;0.575949367
453;1;0;91;0.572327044
455;1;0;91;0.56875
456;1;0;91;0.565217391
464;1;1;92;0.567901235
466;1;0;92;0.564417178
467;1;1;93;0.567073171
470;1;1;94;0.56969697
472;1;1;95;0.572289157
473;1;1;96;0.574850299
474;1;1;97;0.577380952
475;1;1;98;0.579881657
476;1;0;98;0.576470588
478;1;0;98;0.573099415
479;1;0;98;0.569767442
480;1;1;99;0.572254335
481;1;1;100;0.574712644
482;1;1;101;0.577142857
483;1;1;102;0.579545455
484;1;1;103;0.581920904
485;1;1;104;0.584269663
486;1;0;104;0.581005587
487;1;1;105;0.583333333
488;1;1;106;0.585635359
489;1;0;106;0.582417582
494;1;1;107;0.584699454
496;1;1;108;0.586956522
500;1;1;109;0.589189189
501;1;1;110;0.591397849
502;1;1;111;0.593582888
503;1;1;112;0.595744681
504;1;1;113;0.597883598
508;1;1;114;0.6
509;1;1;115;0.602094241
528;1;0;115;0.598958333
529;1;0;115;0.595854922
530;1;0;115;0.592783505
531;1;0;115;0.58974359
532;1;0;115;0.586734694
536;1;0;115;0.583756345
537;1;1;116;0.585858586
539;1;1;117;0.587939698
542;1;1;118;0.59
543;1;1;119;0.592039801
545;1;1;120;0.594059406
546;1;0;120;0.591133005
548;1;0;120;0.588235294
549;1;1;121;0.590243902
551;1;0;121;0.587378641
553;1;1;122;0.589371981
555;1;1;123;0.591346154
558;1;1;124;0.593301435
559;1;1;125;0.595238095
560;1;1;126;0.597156398
562;1;0;126;0.594339623
566;1;1;127;0.596244131
567;1;1;128;0.598130841
569;1;1;129;0.6
570;1;1;130;0.601851852
571;1;1;131;0.603686636
572;1;1;132;0.605504587
574;1;1;133;0.607305936
576;1;1;134;0.609090909
577;1;1;135;0.610859729
579;1;0;135;0.608108108
580;1;1;136;0.609865471
581;1;1;137;0.611607143
582;1;1;138;0.613333333
583;1;1;139;0.615044248
584;1;1;140;0.616740088
586;1;1;141;0.618421053
588;1;1;142;0.620087336
589;1;1;143;0.62173913
593;1;1;144;0.623376623
594;1;0;144;0.620689655
597;1;1;145;0.622317597
600;1;1;146;0.623931624
603;1;1;147;0.625531915
604;1;1;148;0.627118644
605;1;1;149;0.628691983
606;1;1;150;0.630252101
607;1;1;151;0.631799163
608;1;1;152;0.633333333
609;1;1;153;0.634854772
610;1;1;154;0.636363636
611;1;1;155;0.637860082
612;1;1;156;0.639344262
613;1;0;156;0.636734694
620;1;1;157;0.638211382
621;1;1;158;0.639676113
622;1;0;158;0.637096774
623;1;0;158;0.634538153
629;1;0;158;0.632
630;1;0;158;0.629482072
631;1;0;158;0.626984127
632;1;0;158;0.624505929
633;1;0;158;0.622047244
634;1;0;158;0.619607843
635;1;0;158;0.6171875
636;1;0;158;0.614785992
637;1;0;158;0.612403101
638;1;0;158;0.61003861
665;1;0;158;0.607692308
666;1;0;158;0.605363985
668;1;0;158;0.603053435
672;1;0;158;0.600760456
674;1;0;158;0.598484848
686;1;1;159;0.6
691;1;1;160;0.601503759
697;1;1;161;0.602996255
698;1;0;161;0.600746269
699;1;1;162;0.602230483
704;1;0;162;0.6
705;1;0;162;0.597785978
707;1;0;162;0.595588235
714;1;1;163;0.597069597
716;1;1;164;0.598540146
717;1;1;165;0.6
718;1;0;165;0.597826087
719;1;0;165;0.59566787
720;1;1;166;0.597122302
721;1;1;167;0.598566308
722;1;1;168;0.6
723;1;1;169;0.601423488
724;1;1;170;0.602836879
725;1;0;170;0.600706714
726;1;0;170;0.598591549
727;1;1;171;0.6
728;1;1;172;0.601398601
729;1;1;173;0.602787456
731;1;1;174;0.604166667
732;1;1;175;0.605536332
734;1;1;176;0.606896552
736;1;1;177;0.608247423
739;1;0;177;0.606164384
742;1;1;178;0.607508532
744;1;1;179;0.608843537
745;1;1;180;0.610169492
747;1;1;181;0.611486486
748;1;1;182;0.612794613
749;1;1;183;0.61409396
750;1;1;184;0.615384615
751;1;0;184;0.613333333
754;1;1;185;0.61461794
756;1;0;185;0.612582781
770;1;1;186;0.613861386
771;1;0;186;0.611842105
772;1;0;186;0.609836066
773;1;1;187;0.611111111
776;1;0;187;0.609120521
782;1;0;187;0.607142857
783;1;1;188;0.608414239
784;1;1;189;0.609677419
785;1;1;190;0.610932476
788;1;1;191;0.612179487
789;1;1;192;0.61341853
790;1;1;193;0.614649682
791;1;1;194;0.615873016
792;1;1;195;0.617088608
793;1;1;196;0.61829653
805;1;0;196;0.616352201
808;1;1;197;0.617554859
810;1;0;197;0.615625
821;1;0;197;0.613707165
835;1;0;197;0.611801242
837;1;0;197;0.609907121
838;1;0;197;0.608024691
839;1;0;197;0.606153846
851;1;1;198;0.607361963
853;1;1;199;0.608562691
859;1;1;200;0.609756098
860;1;1;201;0.610942249
861;1;1;202;0.612121212
862;1;1;203;0.613293051
863;1;1;204;0.614457831
876;1;0;204;0.612612613
877;1;1;205;0.613772455
883;1;1;206;0.614925373
887;1;1;207;0.616071429
889;1;0;207;0.614243323
891;1;1;208;0.615384615
893;1;0;208;0.613569322
905;1;1;209;0.614705882
911;1;1;210;0.615835777
912;1;1;211;0.616959064
913;1;1;212;0.618075802
914;1;1;213;0.619186047
915;1;1;214;0.620289855
916;1;1;215;0.621387283
917;1;1;216;0.622478386
922;1;1;217;0.623563218
923;1;1;218;0.624641834
928;1;0;218;0.622857143
932;1;1;219;0.623931624
933;1;1;220;0.625
934;1;1;221;0.626062323
935;1;1;222;0.627118644
936;1;1;223;0.628169014
938;1;1;224;0.629213483
939;1;1;225;0.630252101
941;1;0;225;0.62849162
944;1;1;226;0.629526462
945;1;0;226;0.627777778
946;1;1;227;0.628808864
947;1;0;227;0.627071823
948;1;0;227;0.625344353
949;1;0;227;0.623626374
953;1;0;227;0.621917808
955;1;1;228;0.62295082
957;1;0;228;0.621253406
958;1;0;228;0.619565217
960;1;1;229;0.620596206
962;1;1;230;0.621621622
963;1;1;231;0.622641509
965;1;0;231;0.620967742
966;1;1;232;0.621983914
967;1;1;233;0.622994652
968;1;1;234;0.624
971;1;1;235;0.625
975;1;0;235;0.623342175
977;1;0;235;0.621693122
978;1;1;236;0.622691293
980;1;0;236;0.621052632
984;1;0;236;0.619422572
985;1;0;236;0.617801047
986;1;1;237;0.618798956
987;1;1;238;0.619791667
988;1;1;239;0.620779221
990;1;0;239;0.619170984
996;1;1;240;0.620155039
1000;1;1;241;0.621134021
1001;1;1;242;0.622107969
1002;1;1;243;0.623076923
1003;1;1;244;0.624040921
1004;1;0;244;0.62244898
1014;1;1;245;0.623409669
1015;1;1;246;0.624365482
1017;1;1;247;0.625316456
1029;1;0;247;0.623737374
1030;1;0;247;0.622166247
1031;1;0;247;0.620603015
1032;1;0;247;0.619047619
1033;1;0;247;0.6175
1034;1;0;247;0.6159601
1035;1;0;247;0.614427861
1036;1;1;248;0.615384615
1046;1;0;248;0.613861386
1048;1;1;249;0.614814815
1049;1;1;250;0.615763547
1050;1;1;251;0.616707617
1051;1;1;252;0.617647059
1053;1;1;253;0.618581907
1055;1;1;254;0.619512195
1056;1;0;254;0.618004866
1057;1;0;254;0.616504854
1058;1;0;254;0.615012107
1059;1;0;254;0.61352657
1060;1;0;254;0.612048193
1064;1;1;255;0.612980769
1065;1;1;256;0.613908873
1066;1;1;257;0.614832536
1067;1;1;258;0.61575179
1068;1;1;259;0.616666667
1069;1;1;260;0.617577197
1071;1;1;261;0.618483412
1072;1;1;262;0.619385343
1074;1;1;263;0.620283019
1076;1;1;264;0.621176471
1077;1;1;265;0.622065728
1080;1;1;266;0.62295082
1082;1;1;267;0.623831776
1086;1;1;268;0.624708625
1091;1;0;268;0.623255814
1092;1;0;268;0.621809745
1093;1;0;268;0.62037037
1094;1;1;269;0.621247113
1095;1;1;270;0.622119816
1096;1;1;271;0.622988506
1097;1;1;272;0.623853211
1098;1;1;273;0.624713959
1099;1;1;274;0.625570776
1100;1;1;275;0.62642369
1101;1;1;276;0.627272727
1103;1;0;276;0.62585034
1104;1;1;277;0.626696833
1105;1;0;277;0.625282167
1106;1;0;277;0.623873874
1107;1;0;277;0.62247191
1108;1;0;277;0.621076233
1109;1;0;277;0.619686801
1110;1;0;277;0.618303571
1117;1;0;277;0.616926503
1120;1;0;277;0.615555556
1122;1;0;277;0.614190687
1123;1;0;277;0.612831858
1124;1;0;277;0.611479029
1125;1;0;277;0.610132159
1126;1;0;277;0.608791209
1127;1;1;278;0.609649123
1129;1;1;279;0.610503282
1130;1;0;279;0.609170306
1132;1;1;280;0.610021786
1138;1;0;280;0.608695652
1139;1;0;280;0.607375271
1142;1;1;281;0.608225108
1146;1;0;281;0.606911447
1148;1;0;281;0.605603448
1149;1;1;282;0.606451613
1152;1;1;283;0.607296137
1155;1;0;283;0.605995717
1156;1;0;283;0.604700855
1157;1;1;284;0.60554371
1167;1;1;285;0.606382979
1168;1;1;286;0.607218684
1169;1;1;287;0.608050847
1170;1;1;288;0.608879493
1171;1;1;289;0.609704641
1172;1;1;290;0.610526316
1173;1;1;291;0.611344538
1174;1;0;291;0.610062893
1175;1;1;292;0.610878661
1177;1;0;292;0.60960334
1180;1;0;292;0.608333333
1186;1;0;292;0.607068607
5;1;0;292;0.605809129
7;1;0;292;0.604554865
8;1;0;292;0.603305785
10;1;1;293;0.604123711
25;1;1;294;0.604938272
28;1;1;295;0.605749487
30;1;1;296;0.606557377
31;1;0;296;0.605316973
32;1;1;297;0.606122449
33;1;0;297;0.604887984
37;1;1;298;0.605691057
40;1;1;299;0.606490872
42;1;1;300;0.607287449
43;1;0;300;0.606060606
44;1;1;301;0.606854839
45;1;0;301;0.605633803
49;1;1;302;0.606425703
52;1;1;303;0.607214429
54;1;1;304;0.608
55;1;0;304;0.606786427
56;1;1;305;0.607569721
57;1;0;305;0.606361829
61;1;1;306;0.607142857
64;1;1;307;0.607920792
66;1;1;308;0.608695652
67;1;0;308;0.607495069
68;1;1;309;0.608267717
69;1;0;309;0.607072692
76;1;1;310;0.607843137
77;1;0;310;0.60665362
78;1;1;311;0.607421875
79;1;1;312;0.608187135
87;1;1;313;0.608949416
88;1;1;314;0.609708738
89;1;0;314;0.608527132
